iter	Passed	Remaining
405	5912	8649
406	5922	8628
407	5932	8607
408	5943	8587
409	5954	8568
410	5964	8547
411	5973	8524
412	5983	8504
413	5993	8484
414	6005	8465
415	6015	8445
416	6033	8435
417	6045	8417
418	6058	8400
419	6074	8388
420	6090	8376
421	6107	8365
422	6126	8356
423	6142	8344
424	6157	8330
425	6173	8317
426	6190	8307
427	6208	8297
428	6225	8286
429	6239	8270
430	6258	8262
431	6274	8249
432	6289	8236
433	6303	8221
434	6321	8210
435	6338	8199
436	6357	8190
437	6371	8175
438	6388	8163
439	6403	8150
440	6420	8138
441	6437	8126
442	6453	8113
443	6465	8096
444	6478	8080
445	6488	8059
446	6500	8041
447	6512	8024
448	6522	8004
449	6531	7983
450	6542	7964
451	6554	7946
452	6568	7932
453	6580	7913
454	6589	7893
455	6599	7873
456	6610	7854
457	6618	7832
458	6629	7814
459	6640	7795
460	6651	7777
461	6664	7760
462	6676	7743
463	6688	7725
464	6699	7708
465	6712	7692
466	6726	7677
467	6741	7663
468	6762	7656
469	6782	7648
470	6802	7640
471	6818	7627
472	6843	7624
473	6866	7619
474	6882	7606
475	6905	7601
476	6931	7599
477	6948	7587
478	6974	7585
479	6991	7573
480	7008	7561
481	7023	7547
482	7038	7533
483	7057	7523
484	7076	7514
485	7091	7500
486	7107	7486
487	7126	7477
488	7145	7466
489	7162	7454
490	7177	7440
491	7191	7424
492	7204	7409
493	7217	7392
494	7228	7374
495	7241	7358
496	7253	7340
497	7264	7322
498	7275	7304
499	7287	7287
500	7299	7270
501	7310	7251
502	7323	7236
503	7337	7221
504	7350	7204
505	7364	7190
506	7377	7174
507	7391	7158
508	7405	7143
509	7419	7128
510	7431	7111
511	7444	7095
512	7457	7079
513	7475	7068
514	7488	7052
515	7501	7036
516	7513	7018
517	7568	7042
518	7638	7078
519	7653	7064
520	7668	7050
521	7693	7044
522	7716	7037
523	7731	7023
524	7751	7013
525	7766	6998
526	7786	6988
527	7800	6973
528	7816	6959
529	7836	6949
530	7856	6938
531	7871	6924
532	7889	6912
533	7903	6897
534	7923	6886
535	7936	6870
536	7949	6854
537	7962	6837
538	7973	6819
539	7983	6800
540	7994	6782
541	8004	6764
542	8014	6745
543	8025	6727
544	8035	6708
545	8046	6690
546	8056	6672
547	8066	6653
548	8077	6635
549	8087	6616
550	8097	6598
551	8108	6580
552	8119	6563
553	8130	6545
554	8141	6527
555	8151	6509
556	8162	6492
557	8173	6474
558	8182	6455
559	8192	6436
560	8201	6418
561	8211	6399
562	8220	6381
563	8229	6361
564	8239	6343
565	8247	6324
566	8257	6306
567	8268	6288
568	8278	6270
569	8288	6252
570	8298	6234
571	8308	6216
572	8318	6199
573	8327	6180
574	8338	6163
575	8348	6145
576	8358	6127
577	8370	6111
578	8380	6093
579	8390	6076
580	8401	6058
581	8412	6042
582	8427	6027
583	8443	6014
584	8463	6003
585	8484	5994
586	8495	5977
587	8514	5966
588	8536	5956
589	8555	5945
590	8572	5932
591	8587	5918
592	8605	5906
593	8623	5894
594	8643	5883
595	8656	5867
596	8674	5855
597	8693	5844
598	8709	5830
599	8723	5815
600	8739	5802
601	8751	5785
602	8760	5767
603	8770	5750
604	8781	5733
605	8790	5715
606	8800	5698
607	8811	5680
608	8820	5662
609	8830	5645
610	8839	5627
611	8850	5610
612	8859	5593
613	8868	5575
614	8877	5557
615	8886	5539
616	8896	5522
617	8916	5511
618	8942	5503
619	8959	5491
620	8971	5475
621	8983	5459
622	8994	5442
623	9004	5425
624	9015	5409
625	9026	5393
626	9037	5376
627	9049	5360
628	9060	5343
629	9069	5326
630	9081	5310
631	9092	5294
632	9101	5276
633	9111	5259
634	9120	5242
635	9130	5225
636	9139	5208
637	9150	5191
638	9160	5175
639	9171	5158
640	9183	5143
641	9194	5127
642	9204	5110
643	9213	5093
644	9223	5076
645	9231	5059
646	9241	5042
647	9250	5024
648	9259	5008
649	9268	4990
650	9279	4974
651	9290	4958
652	9300	4942
653	9311	4926
654	9321	4909
655	9330	4892
656	9342	4877
657	9352	4860
658	9361	4844
659	9372	4828
660	9383	4812
661	9394	4796
662	9404	4780
663	9414	4763
